40, Private, 271665, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 50, United-States, <=50K.
53, Private, 157059, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 50, United-States, <=50K.
26, Private, 282643, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
68, Self-emp-not-inc, 69249, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 10, United-States, >50K.
36, Private, 131766, Assoc-acdm, 12, Never-married, Exec-managerial, Not-in-family, White, Female, 3325, 0, 40, United-States, <=50K.
20, Private, 163665, Assoc-acdm, 12, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 15, United-States, <=50K.
20, Private, 165097, Some-college, 10, Never-married, Exec-managerial, Other-relative, White, Male, 0, 2001, 40, United-States, <=50K.
35, Private, 194668, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 99999, 0, 45, United-States, >50K.
27, Private, 116372, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
29, Private, 113635, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
28, Private, 162994, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K.
40, Private, 266803, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 15024, 0, 50, Canada, >50K.
20, Private, 230482, 9th, 5, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
51, Private, 299831, Assoc-voc, 11, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
30, Private, 172830, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
50, Private, 144084, HS-grad, 9, Separated, Sales, Unmarried, White, Female, 0, 0, 55, United-States, <=50K.
30, Local-gov, 295737, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K.
34, Private, 207685, Bachelors, 13, Separated, Prof-specialty, Unmarried, Black, Female, 0, 0, 39, United-States, <=50K.
55, Private, 161423, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 52, United-States, >50K.
53, Self-emp-not-inc, 122109, Assoc-acdm, 12, Divorced, Sales, Not-in-family, White, Female, 0, 0, 70, United-States, <=50K.
45, Private, 215892, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 2824, 50, United-States, >50K.
45, Private, 176517, Assoc-acdm, 12, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 50, United-States, <=50K.
40, Self-emp-not-inc, 220821, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 72, United-States, <=50K.
73, Local-gov, 249043, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 20, Cuba, <=50K.
18, Private, 58949, 12th, 8, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K.
33, Private, 158438, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, >50K.
33, Private, 154950, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 50, United-States, <=50K.
38, Private, 200445, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 48, United-States, >50K.
65, ?, 224357, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 2290, 0, 4, United-States, <=50K.
31, Federal-gov, 103651, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 45, United-States, >50K.
24, ?, 316524, Bachelors, 13, Never-married, ?, Other-relative, White, Female, 0, 0, 40, United-States, <=50K.
51, Self-emp-inc, 200046, Bachelors, 13, Separated, Sales, Unmarried, White, Male, 0, 2824, 40, United-States, >50K.
32, Private, 193285, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K.
52, Private, 146015, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
41, Self-emp-inc, 195096, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K.
25, Private, 221078, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K.
45, Local-gov, 186375, Assoc-voc, 11, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, <=50K.
61, Self-emp-not-inc, 44983, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 20, United-States, <=50K.
71, Private, 29770, Some-college, 10, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 28, United-States, <=50K.
63, State-gov, 266565, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 27, United-States, <=50K.
45, State-gov, 235431, HS-grad, 9, Separated, Sales, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.
57, ?, 153788, Bachelors, 13, Married-civ-spouse, ?, Wife, White, Female, 99999, 0, 45, United-States, >50K.
47, Private, 280030, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 52, United-States, <=50K.
50, Self-emp-not-inc, 158352, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K.
25, Local-gov, 109972, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 45, United-States, <=50K.
32, Private, 278940, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K.
40, Private, 174395, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
50, Private, 141592, 10th, 6, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
54, Private, 295525, Some-college, 10, Divorced, Protective-serv, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
34, Private, 121321, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K.
42, Private, 198955, 9th, 5, Divorced, Machine-op-inspct, Not-in-family, Black, Female, 0, 0, 46, United-States, <=50K.
27, ?, 105189, HS-grad, 9, Never-married, ?, Own-child, White, Male, 0, 0, 40, Germany, <=50K.
38, Private, 186191, HS-grad, 9, Divorced, Sales, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K.
17, Private, 208967, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 24, United-States, <=50K.
47, Private, 159399, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K.
21, ?, 169600, Some-college, 10, Married-spouse-absent, ?, Own-child, White, Female, 0, 0, 35, United-States, <=50K.
25, Private, 262656, Assoc-acdm, 12, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
30, Private, 284629, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K.
39, Private, 182189, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1887, 65, United-States, >50K.
47, Federal-gov, 38819, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 45, United-States, >50K.
57, Private, 191873, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K.
25, Private, 125082, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, Black, Female, 0, 0, 40, United-States, <=50K.
68, Private, 67791, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K.
34, State-gov, 334744, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 65, United-States, <=50K.
35, Private, 198841, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K.
39, Local-gov, 218490, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K.
47, Private, 188386, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
47, Private, 95661, Some-college, 10, Widowed, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, Germany, <=50K.
55, Self-emp-not-inc, 79011, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male, 0, 0, 70, United-States, <=50K.
72, Self-emp-not-inc, 103368, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 21, United-States, <=50K.
32, Private, 119176, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 44, United-States, <=50K.
28, Private, 90928, Assoc-voc, 11, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
61, Self-emp-inc, 218009, Prof-school, 15, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K.
44, Self-emp-not-inc, 460259, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K.
35, Local-gov, 405284, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 35, United-States, >50K.
48, Self-emp-not-inc, 26502, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
49, Federal-gov, 157569, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 46, United-States, <=50K.
32, Private, 252168, Some-college, 10, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 35, United-States, <=50K.
26, Federal-gov, 269353, Assoc-voc, 11, Never-married, Adm-clerical, Not-in-family, Other, Male, 0, 0, 55, United-States, <=50K.
56, Self-emp-not-inc, 52822, Bachelors, 13, Divorced, Farming-fishing, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K.
71, ?, 365996, HS-grad, 9, Widowed, ?, Unmarried, White, Female, 6612, 0, 42, United-States, >50K.
24, State-gov, 147548, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K.
42, Local-gov, 216411, Assoc-acdm, 12, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 35, Puerto-Rico, >50K.
37, State-gov, 122493, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 55, United-States, >50K.
57, Private, 41680, Some-college, 10, Divorced, Tech-support, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K.
48, Local-gov, 100818, Bachelors, 13, Separated, Prof-specialty, Unmarried, White, Female, 7443, 0, 45, United-States, <=50K.
39, Private, 30056, Some-college, 10, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K.
20, Self-emp-inc, 83141, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
46, Private, 178768, HS-grad, 9, Divorced, Tech-support, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K.
68, Self-emp-not-inc, 376957, 5th-6th, 3, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 6, United-States, <=50K.
33, Private, 194740, 12th, 8, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K.
35, Self-emp-not-inc, 160728, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, <=50K.
62, ?, 198170, Masters, 14, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 4, United-States, <=50K.
20, Private, 200967, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 30, United-States, <=50K.
42, State-gov, 116493, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 52, United-States, <=50K.
64, ?, 117349, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 24, United-States, <=50K.
42, Private, 188615, Some-college, 10, Separated, Prof-specialty, Not-in-family, White, Male, 0, 2231, 50, Canada, >50K.
47, Private, 849067, 12th, 8, Divorced, Handlers-cleaners, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K.
40, Private, 193459, Assoc-acdm, 12, Separated, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, Outlying-US(Guam-USVI-etc), <=50K.
51, State-gov, 177487, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K.
26, Private, 151971, Some-college, 10, Never-married, Handlers-cleaners, Unmarried, White, Male, 0, 0, 35, United-States, <=50K.
32, Self-emp-inc, 169152, Assoc-voc, 11, Divorced, Exec-managerial, Not-in-family, White, Female, 10520, 0, 80, Greece, >50K.
59, Private, 108929, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
36, Private, 290861, 11th, 7, Married-spouse-absent, Craft-repair, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K.
38, Self-emp-not-inc, 168826, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States, <=50K.
45, Private, 216414, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 50, United-States, >50K.
38, Private, 324053, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K.
55, State-gov, 197399, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K.
46, Private, 138069, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K.
59, Private, 184553, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 45, United-States, <=50K.
31, Private, 328734, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K.
29, Private, 336167, HS-grad, 9, Never-married, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 30, United-States, <=50K.
34, Private, 195748, Assoc-acdm, 12, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 38, United-States, <=50K.
53, Private, 590941, Doctorate, 16, Never-married, Prof-specialty, Unmarried, White, Female, 0, 1408, 40, United-States, <=50K.
43, Private, 211580, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K.
52, ?, 73117, HS-grad, 9, Divorced, ?, Unmarried, White, Female, 0, 0, 38, United-States, <=50K.
45, Private, 166863, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K.
29, Private, 141350, HS-grad, 9, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
28, Private, 133937, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 15024, 0, 55, United-States, >50K.
44, Private, 282192, Assoc-acdm, 12, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 60, United-States, <=50K.
32, Private, 237582, Assoc-voc, 11, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K.
29, Private, 262758, Assoc-acdm, 12, Never-married, Other-service, Unmarried, Black, Male, 0, 625, 60, United-States, <=50K.
48, Self-emp-inc, 188694, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
40, Local-gov, 104196, 12th, 8, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
23, Private, 172232, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K.
29, Self-emp-not-inc, 103432, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
65, Private, 183544, 9th, 5, Widowed, Sales, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K.
41, Private, 276289, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Black, Male, 0, 0, 60, ?, <=50K.
58, Private, 111209, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 45, United-States, <=50K.
30, Private, 176862, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K.
55, Private, 201229, Bachelors, 13, Divorced, Sales, Not-in-family, White, Female, 0, 0, 8, United-States, <=50K.
42, Private, 186689, HS-grad, 9, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 60, United-States, <=50K.
31, Private, 177675, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K.
38, Federal-gov, 337505, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, >50K.
53, Private, 156148, HS-grad, 9, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
50, Self-emp-inc, 209642, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 99999, 0, 55, United-States, >50K.
62, Private, 159474, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 50, United-States, <=50K.
37, Private, 75073, Some-college, 10, Never-married, Craft-repair, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K.
56, Self-emp-not-inc, 121362, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 15024, 0, 40, United-States, >50K.
21, Private, 321369, 10th, 6, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
43, ?, 49665, HS-grad, 9, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male, 0, 0, 45, United-States, <=50K.
44, Private, 219155, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K.
48, Private, 329144, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 60, United-States, >50K.
40, Local-gov, 161475, HS-grad, 9, Married-civ-spouse, Protective-serv, Wife, Black, Female, 0, 0, 75, United-States, <=50K.
70, Self-emp-inc, 99554, Bachelors, 13, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
40, Private, 277488, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K.
27, Local-gov, 286352, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K.
26, Private, 109457, 10th, 6, Married-civ-spouse, Craft-repair, Other-relative, White, Male, 0, 0, 48, United-States, <=50K.
33, Private, 236304, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 60, United-States, >50K.
35, Private, 399601, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K.
42, State-gov, 396758, Some-college, 10, Divorced, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
37, Private, 21798, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K.
21, ?, 278130, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
17, Private, 192173, 9th, 5, Never-married, Craft-repair, Other-relative, White, Male, 0, 0, 40, United-States, <=50K.
40, Private, 43546, Some-college, 10, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 48, United-States, <=50K.
20, Private, 87546, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
69, Private, 135891, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 7, United-States, >50K.
32, Private, 312923, 5th-6th, 3, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Mexico, <=50K.
21, Private, 33432, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 8, United-States, <=50K.
25, Private, 270379, HS-grad, 9, Never-married, Tech-support, Other-relative, Black, Female, 0, 0, 35, United-States, <=50K.
17, Private, 134829, 11th, 7, Never-married, Other-service, Own-child, White, Male, 2176, 0, 20, United-States, <=50K.
40, Federal-gov, 155106, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 55, United-States, >50K.
19, ?, 145989, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 45, United-States, <=50K.
50, Local-gov, 270221, Some-college, 10, Divorced, Adm-clerical, Own-child, White, Male, 0, 0, 43, United-States, >50K.
24, Private, 123226, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
23, Private, 154641, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
73, Private, 145570, 7th-8th, 4, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 35, United-States, >50K.
54, Private, 229983, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 36, United-States, <=50K.
68, Self-emp-not-inc, 140892, Masters, 14, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 15, United-States, <=50K.
45, Local-gov, 278303, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
66, Private, 127139, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
32, Self-emp-not-inc, 360689, 11th, 7, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
24, Private, 19513, HS-grad, 9, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, <=50K.
56, Private, 50490, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, >50K.
50, Self-emp-not-inc, 34067, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, >50K.
48, Private, 359808, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, >50K.
28, Private, 105422, Some-college, 10, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
49, Private, 28171, HS-grad, 9, Divorced, Tech-support, Not-in-family, White, Male, 4787, 0, 40, United-States, >50K.
59, State-gov, 49230, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
24, Private, 165107, Assoc-voc, 11, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, <=50K.
20, Private, 112706, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 39, United-States, <=50K.
56, Private, 28297, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
53, Private, 104748, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K.
21, Private, 129137, HS-grad, 9, Never-married, Other-service, Other-relative, White, Female, 1055, 0, 35, United-States, <=50K.
30, Private, 298871, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 1887, 45, Iran, >50K.
30, Local-gov, 229716, Some-college, 10, Separated, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.
31, Self-emp-inc, 113752, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
32, Self-emp-not-inc, 198739, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K.
42, Local-gov, 277256, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K.
31, Private, 114937, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
57, Private, 206206, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K.
19, Private, 197861, 12th, 8, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 15, United-States, <=50K.
19, Private, 38925, 11th, 7, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
26, Private, 34309, Assoc-voc, 11, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K.
24, Private, 219122, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 20, Italy, <=50K.
41, Self-emp-not-inc, 51494, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
55, Private, 173422, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K.
20, ?, 116773, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 40, ?, <=50K.
33, Private, 252340, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
25, Private, 213799, Assoc-voc, 11, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 35, United-States, <=50K.
