25, Private, 306908, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K.
55, Private, 200327, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 18, United-States, <=50K.
69, Private, 31501, Assoc-voc, 11, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
34, Private, 223327, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 1672, 42, United-States, <=50K.
52, Private, 191130, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 40, United-States, >50K.
22, ?, 191561, Some-college, 10, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 30, United-States, <=50K.
47, Private, 245724, Bachelors, 13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K.
45, Private, 194134, Assoc-voc, 11, Never-married, Other-service, Unmarried, White, Female, 0, 0, 40, Mexico, <=50K.
23, Private, 140764, Bachelors, 13, Never-married, Sales, Own-child, White, Female, 0, 1590, 40, United-States, <=50K.
41, Self-emp-not-inc, 189941, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
32, Private, 149368, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K.
57, Local-gov, 237546, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K.
34, Private, 211051, Bachelors, 13, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
44, State-gov, 307468, Assoc-voc, 11, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 50, United-States, >50K.
46, Self-emp-not-inc, 27847, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, >50K.
60, Private, 39263, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 3325, 0, 35, United-States, <=50K.
46, Local-gov, 183610, Masters, 14, Separated, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
32, Self-emp-inc, 235847, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 52, United-States, <=50K.
44, Local-gov, 32627, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1887, 60, United-States, >50K.
43, Private, 42026, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K.
48, Federal-gov, 72808, 11th, 7, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 42, United-States, <=50K.
55, Private, 377113, Bachelors, 13, Married-civ-spouse, Transport-moving, Husband, White, Male, 15024, 0, 60, United-States, >50K.
24, Private, 176389, Bachelors, 13, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
65, Private, 71075, Some-college, 10, Divorced, Sales, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K.
51, Self-emp-inc, 110327, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, >50K.
42, State-gov, 392167, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K.
36, Private, 130808, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
19, Private, 351757, 10th, 6, Never-married, Other-service, Unmarried, White, Male, 0, 0, 30, El-Salvador, <=50K.
24, Self-emp-not-inc, 345420, 7th-8th, 4, Never-married, Farming-fishing, Other-relative, White, Male, 0, 0, 50, United-States, <=50K.
52, Private, 220984, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K.
28, Private, 236834, 9th, 5, Never-married, Priv-house-serv, Not-in-family, White, Female, 0, 0, 35, Mexico, <=50K.
42, Private, 153489, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
25, Private, 330850, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 70, United-States, <=50K.
53, Private, 337195, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K.
35, Private, 214816, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 36, United-States, <=50K.
20, Private, 92863, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
38, Private, 226894, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, Black, Male, 13550, 0, 40, United-States, >50K.
46, Private, 40666, Bachelors, 13, Divorced, Exec-managerial, Other-relative, White, Male, 0, 0, 40, United-States, <=50K.
18, ?, 142043, 11th, 7, Never-married, ?, Other-relative, White, Male, 0, 0, 15, United-States, <=50K.
58, Private, 105239, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male, 0, 0, 40, United-States, <=50K.
41, Private, 112763, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 35, United-States, <=50K.
66, Self-emp-not-inc, 219220, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 2653, 0, 40, United-States, <=50K.
38, State-gov, 168223, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
29, Private, 175639, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 28, United-States, <=50K.
39, Private, 167482, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K.
44, Local-gov, 178417, HS-grad, 9, Married-civ-spouse, Protective-serv, Own-child, White, Male, 0, 0, 40, United-States, >50K.
26, Local-gov, 33604, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 25, United-States, <=50K.
27, Private, 62082, Bachelors, 13, Never-married, Sales, Own-child, Other, Male, 0, 0, 38, United-States, <=50K.
29, Private, 149902, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 80, United-States, <=50K.
29, Private, 74784, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, United-States, <=50K.
47, Self-emp-inc, 54260, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, <=50K.
62, ?, 119986, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 60, United-States, >50K.
29, Local-gov, 165218, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 55, United-States, <=50K.
52, Local-gov, 192853, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Other, Male, 0, 0, 40, Jamaica, >50K.
27, Private, 56299, 11th, 7, Never-married, Handlers-cleaners, Other-relative, White, Male, 0, 0, 40, United-States, <=50K.
53, ?, 394690, Some-college, 10, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 5, United-States, <=50K.
29, Private, 208406, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
62, Private, 165827, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
72, Private, 249559, HS-grad, 9, Widowed, Priv-house-serv, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K.
27, Private, 151382, HS-grad, 9, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
38, Private, 161141, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, United-States, <=50K.
27, Private, 57092, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K.
49, Private, 116927, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K.
56, Private, 133876, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K.
52, Self-emp-inc, 229259, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K.
22, Private, 338162, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female, 0, 0, 40, United-States, <=50K.
37, Federal-gov, 38948, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K.
55, Private, 169276, HS-grad, 9, Divorced, Machine-op-inspct, Other-relative, Black, Male, 0, 0, 40, United-States, <=50K.
38, State-gov, 364803, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 65, United-States, <=50K.
45, Private, 302677, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 1340, 50, United-States, <=50K.
35, Private, 235485, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
21, Private, 91189, Some-college, 10, Never-married, Sales, Unmarried, White, Male, 0, 0, 60, United-States, <=50K.
54, Federal-gov, 149596, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 45, United-States, <=50K.
19, Private, 89211, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
48, State-gov, 241854, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, >50K.
41, Private, 213351, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
20, Private, 74631, 9th, 5, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
56, Private, 128696, 11th, 7, Married-civ-spouse, Tech-support, Wife, Black, Female, 0, 0, 40, United-States, <=50K.
49, Private, 141069, HS-grad, 9, Divorced, Adm-clerical, Other-relative, White, Female, 0, 0, 40, United-States, <=50K.
17, ?, 347248, 10th, 6, Never-married, ?, Own-child, White, Female, 0, 0, 20, United-States, <=50K.
45, Private, 176947, 7th-8th, 4, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K.
46, Private, 274200, HS-grad, 9, Divorced, Farming-fishing, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
39, Private, 94036, HS-grad, 9, Divorced, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
52, ?, 188431, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 45, United-States, <=50K.
34, Local-gov, 176802, 11th, 7, Separated, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.
65, ?, 258973, Some-college, 10, Widowed, ?, Not-in-family, White, Female, 401, 0, 14, United-States, <=50K.
46, Private, 235646, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
41, Private, 175883, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K.
48, Private, 154430, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K.
71, Private, 258126, 9th, 5, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 39, Cuba, <=50K.
26, Federal-gov, 337575, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K.
47, Self-emp-inc, 308241, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, <=50K.
21, ?, 162165, Some-college, 10, Never-married, ?, Not-in-family, White, Female, 0, 0, 43, United-States, <=50K.
23, Private, 298623, HS-grad, 9, Never-married, Transport-moving, Own-child, Black, Male, 0, 0, 40, United-States, <=50K.
65, Private, 270935, HS-grad, 9, Widowed, Craft-repair, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K.
60, Private, 338833, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 38, United-States, <=50K.
19, ?, 341631, HS-grad, 9, Never-married, ?, Other-relative, White, Female, 0, 0, 25, United-States, <=50K.
35, Private, 233786, HS-grad, 9, Never-married, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K.
32, Private, 366876, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
36, State-gov, 183279, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 38, United-States, <=50K.
41, Federal-gov, 29606, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, >50K.
24, Local-gov, 137300, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K.
45, Private, 184070, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, Black, Female, 0, 0, 40, United-States, <=50K.
48, Private, 188610, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, >50K.
20, Private, 41356, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K.
51, Private, 145409, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, ?, >50K.
24, ?, 287413, HS-grad, 9, Never-married, ?, Not-in-family, Black, Male, 0, 0, 60, United-States, <=50K.
39, Local-gov, 100011, Assoc-acdm, 12, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K.
21, Private, 119673, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K.
49, Private, 140782, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 2415, 3, United-States, >50K.
30, Private, 193246, HS-grad, 9, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
68, State-gov, 420526, Masters, 14, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 5, United-States, <=50K.
30, Private, 34574, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K.
32, Self-emp-not-inc, 400061, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 15024, 0, 40, Philippines, >50K.
49, Private, 107009, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 40, Portugal, <=50K.
24, Private, 33551, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
34, Private, 121640, Some-college, 10, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male, 0, 0, 44, United-States, <=50K.
40, Private, 179524, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
23, ?, 473206, HS-grad, 9, Never-married, ?, Own-child, Black, Male, 0, 0, 32, United-States, <=50K.
41, Private, 54422, Assoc-acdm, 12, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, >50K.
23, Private, 202416, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K.
48, Private, 158685, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 16, United-States, <=50K.
56, Self-emp-inc, 76534, HS-grad, 9, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, 0, 0, 21, China, <=50K.
42, State-gov, 218948, Doctorate, 16, Divorced, Prof-specialty, Unmarried, Black, Female, 0, 0, 36, Jamaica, <=50K.
37, Self-emp-not-inc, 175120, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K.
32, Private, 100154, 9th, 5, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, El-Salvador, <=50K.
29, Private, 160510, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, ?, >50K.
58, Private, 223214, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?, >50K.
40, Private, 79488, HS-grad, 9, Separated, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
40, Private, 136986, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 52, United-States, >50K.
33, Private, 202339, 11th, 7, Never-married, Sales, Unmarried, White, Female, 0, 0, 34, United-States, <=50K.
58, Private, 205737, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K.
32, Private, 80145, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K.
22, ?, 303579, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 1602, 8, United-States, <=50K.
47, Private, 235108, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 5178, 0, 40, United-States, >50K.
41, State-gov, 201363, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 38, United-States, >50K.
41, Self-emp-inc, 244172, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, ?, >50K.
73, ?, 99349, Bachelors, 13, Widowed, ?, Not-in-family, White, Female, 0, 0, 15, United-States, <=50K.
56, Federal-gov, 338242, Assoc-voc, 11, Widowed, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.
83, ?, 29702, 7th-8th, 4, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 20, United-States, <=50K.
22, Private, 146352, HS-grad, 9, Never-married, Sales, Unmarried, White, Female, 0, 0, 60, United-States, <=50K.
30, Private, 215182, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
41, ?, 133456, Assoc-acdm, 12, Widowed, ?, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K.
32, Private, 79586, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, >50K.
27, Private, 181822, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
35, Private, 123809, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 15024, 0, 35, United-States, >50K.
37, Private, 35429, HS-grad, 9, Never-married, Machine-op-inspct, Unmarried, White, Male, 1506, 0, 40, United-States, <=50K.
48, Private, 151584, HS-grad, 9, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 46, United-States, <=50K.
42, Private, 303725, HS-grad, 9, Never-married, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.
35, Private, 194404, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K.
20, Local-gov, 224229, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K.
33, Private, 236396, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 55, United-States, >50K.
25, Private, 40255, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 80, United-States, <=50K.
