23, Private, 193537, HS-grad, 9, Never-married, Adm-clerical, Own-child, Black, Male, 0, 0, 20, United-States, <=50K.
76, ?, 217043, 10th, 6, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 15, United-States, <=50K.
56, Private, 176079, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 15024, 0, 24, United-States, >50K.
40, Self-emp-inc, 266047, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 65, United-States, >50K.
39, Self-emp-inc, 285890, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 40, Haiti, >50K.
24, Private, 70261, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
23, Private, 214236, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
36, Self-emp-not-inc, 143385, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, <=50K.
55, Private, 150507, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K.
23, Private, 292264, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K.
39, Self-emp-inc, 110861, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K.
32, Private, 225064, HS-grad, 9, Divorced, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
32, Private, 154120, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Trinadad&Tobago, <=50K.
17, Private, 34465, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 32, United-States, <=50K.
29, Private, 89598, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 2057, 35, United-States, <=50K.
54, Private, 183668, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K.
37, Private, 189382, Assoc-acdm, 12, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 1504, 40, United-States, <=50K.
67, ?, 165103, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 2174, 50, United-States, >50K.
48, Private, 44216, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K.
17, Private, 150471, 10th, 6, Never-married, Other-service, Own-child, White, Female, 0, 0, 25, United-States, <=50K.
41, Private, 32627, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
43, Self-emp-not-inc, 153109, Assoc-acdm, 12, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 60, United-States, <=50K.
29, Private, 352451, HS-grad, 9, Never-married, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.
43, Private, 176716, Bachelors, 13, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, United-States, >50K.
46, Federal-gov, 171850, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 42, United-States, <=50K.
42, Private, 260496, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, Black, Female, 0, 0, 40, United-States, <=50K.
36, Private, 154410, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 1902, 40, United-States, >50K.
31, Self-emp-not-inc, 23500, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 75, United-States, <=50K.
60, Private, 178312, 11th, 7, Married-civ-spouse, Sales, Husband, White, Male, 0, 1902, 70, United-States, >50K.
50, Private, 62593, Assoc-voc, 11, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, >50K.
30, Private, 123291, Some-college, 10, Separated, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
22, Private, 313817, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K.
57, State-gov, 229270, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Other, Male, 0, 1579, 37, United-States, <=50K.
43, Private, 212027, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, Black, Male, 0, 0, 38, United-States, <=50K.
58, Private, 259532, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, United-States, <=50K.
26, Local-gov, 213258, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
26, Private, 316337, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K.
38, Private, 179123, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States, >50K.
26, Private, 191765, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, Scotland, <=50K.
59, Self-emp-inc, 188877, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K.
41, Private, 55395, Some-college, 10, Married-spouse-absent, Other-service, Unmarried, White, Male, 0, 0, 40, United-States, <=50K.
21, Private, 161051, Some-college, 10, Never-married, Tech-support, Own-child, Black, Female, 0, 0, 4, United-States, <=50K.
30, Private, 241844, HS-grad, 9, Separated, Handlers-cleaners, Own-child, Black, Male, 0, 0, 40, United-States, <=50K.
36, Private, 232142, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 80, United-States, <=50K.
43, Private, 311534, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 44, United-States, >50K.
68, Self-emp-not-inc, 128986, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 30, United-States, <=50K.
18, Private, 67019, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K.
23, Private, 208826, Bachelors, 13, Never-married, Exec-managerial, Unmarried, White, Female, 0, 0, 30, United-States, <=50K.
43, Private, 256813, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 40, United-States, >50K.
44, Private, 160919, HS-grad, 9, Divorced, Other-service, Unmarried, White, Female, 0, 0, 30, United-States, <=50K.
43, Private, 107584, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, <=50K.
59, Self-emp-inc, 159472, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K.
35, Private, 408318, 7th-8th, 4, Married-spouse-absent, Other-service, Not-in-family, White, Male, 0, 0, 25, Mexico, <=50K.
61, Private, 194956, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K.
52, State-gov, 21764, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K.
37, Private, 277347, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K.
57, Private, 104455, Some-college, 10, Married-spouse-absent, Sales, Own-child, Asian-Pac-Islander, Female, 0, 0, 90, United-States, >50K.
30, Private, 117584, Masters, 14, Never-married, Prof-specialty, Not-in-family, Black, Female, 0, 0, 20, United-States, <=50K.
38, Private, 131288, Assoc-voc, 11, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
46, Private, 99014, Some-college, 10, Divorced, Other-service, Own-child, White, Female, 0, 0, 35, United-States, <=50K.
22, Private, 141003, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
64, Private, 344014, Some-college, 10, Divorced, Tech-support, Unmarried, Black, Female, 0, 1741, 40, United-States, <=50K.
45, Private, 175600, Assoc-voc, 11, Divorced, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
31, Local-gov, 240504, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, Black, Male, 0, 1902, 50, United-States, >50K.
20, Private, 174436, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 60, United-States, <=50K.
29, Private, 194869, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K.
23, Private, 164901, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 20, United-States, <=50K.
62, Private, 72886, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
41, Self-emp-inc, 130126, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, >50K.
42, Self-emp-inc, 196514, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
31, Private, 103651, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K.
25, Private, 261419, Bachelors, 13, Never-married, Sales, Own-child, White, Male, 0, 0, 50, United-States, <=50K.
61, Private, 206339, 10th, 6, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
27, Private, 445365, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
40, Private, 227466, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 50, United-States, <=50K.
49, Private, 96854, HS-grad, 9, Divorced, Other-service, Unmarried, White, Male, 0, 0, 40, United-States, <=50K.
21, Private, 163595, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K.
22, State-gov, 181096, Bachelors, 13, Never-married, Prof-specialty, Own-child, Black, Male, 0, 0, 20, United-States, <=50K.
24, Private, 95984, Assoc-voc, 11, Never-married, Sales, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K.
37, Private, 472517, Assoc-voc, 11, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 4, United-States, <=50K.
46, Local-gov, 60751, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
35, Private, 107302, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K.
41, Private, 106501, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 50, United-States, >50K.
23, Private, 32732, Some-college, 10, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
34, Self-emp-inc, 174789, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K.
39, Private, 301628, Some-college, 10, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K.
29, Private, 27436, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K.
24, Private, 93977, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K.
54, Private, 139127, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
28, Private, 258231, Some-college, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
25, Self-emp-not-inc, 136309, 11th, 7, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
50, Private, 266433, Some-college, 10, Divorced, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
59, Private, 140363, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 42, United-States, >50K.
58, Private, 179715, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 47, United-States, >50K.
55, Private, 204816, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
58, Private, 35520, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 7688, 0, 40, United-States, >50K.
46, Private, 101320, Bachelors, 13, Separated, Prof-specialty, Unmarried, White, Female, 0, 0, 42, United-States, >50K.
40, Private, 210857, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 50, United-States, >50K.
40, Self-emp-not-inc, 60949, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
57, Local-gov, 139095, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
46, Private, 233493, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 1579, 40, United-States, <=50K.
36, Private, 176249, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 1590, 40, United-States, <=50K.
29, Private, 187746, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
32, Private, 49593, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K.
24, Self-emp-not-inc, 240160, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K.
63, Private, 76286, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Other, Male, 0, 0, 40, India, >50K.
23, Private, 65225, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 15, United-States, <=50K.
36, Private, 225330, HS-grad, 9, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
31, Private, 101562, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 0, 50, United-States, >50K.
52, Self-emp-not-inc, 27539, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 7688, 0, 72, United-States, >50K.
60, Local-gov, 227311, 10th, 6, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
29, ?, 51260, HS-grad, 9, Never-married, ?, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K.
31, Private, 256609, HS-grad, 9, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, Mexico, <=50K.
35, Local-gov, 123939, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
24, Federal-gov, 203182, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 2174, 0, 40, United-States, <=50K.
38, Private, 111128, Some-college, 10, Divorced, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
42, Private, 112451, HS-grad, 9, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K.
44, ?, 177461, Some-college, 10, Divorced, ?, Unmarried, Amer-Indian-Eskimo, Male, 0, 0, 50, United-States, <=50K.
24, Private, 332155, HS-grad, 9, Never-married, Handlers-cleaners, Other-relative, White, Male, 0, 0, 20, United-States, <=50K.
42, Local-gov, 178983, Bachelors, 13, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 37, United-States, <=50K.
54, Private, 199392, 5th-6th, 3, Divorced, Machine-op-inspct, Other-relative, White, Female, 0, 0, 40, Nicaragua, <=50K.
19, Private, 311015, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
20, Private, 126038, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K.
21, Private, 402124, Assoc-voc, 11, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
30, Private, 198660, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K.
26, ?, 228457, 11th, 7, Never-married, ?, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
34, Self-emp-inc, 223267, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 2829, 0, 78, United-States, <=50K.
22, Self-emp-not-inc, 249046, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 35, United-States, <=50K.
45, Self-emp-not-inc, 127948, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
32, Private, 154785, Some-college, 10, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, China, <=50K.
28, Private, 248404, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K.
31, Private, 137978, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
40, Private, 144778, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K.
30, Private, 133250, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K.
28, Private, 402771, Assoc-voc, 11, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 23, United-States, <=50K.
47, ?, 97075, HS-grad, 9, Divorced, ?, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
21, Private, 116234, Some-college, 10, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 44, United-States, <=50K.
25, Local-gov, 262818, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 35, Guatemala, <=50K.
47, Private, 138342, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K.
50, Private, 123374, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K.
23, Private, 202373, HS-grad, 9, Never-married, Sales, Own-child, Black, Male, 0, 0, 20, United-States, <=50K.
54, Self-emp-not-inc, 180522, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 70, United-States, <=50K.
24, Local-gov, 140647, HS-grad, 9, Never-married, Other-service, Own-child, Black, Male, 0, 0, 36, United-States, <=50K.
50, Private, 136898, Assoc-voc, 11, Widowed, Exec-managerial, Unmarried, White, Female, 0, 0, 55, ?, <=50K.
29, Private, 140927, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K.
36, Private, 114055, Assoc-voc, 11, Never-married, Prof-specialty, Unmarried, White, Female, 3325, 0, 40, United-States, <=50K.
46, Private, 114222, Assoc-voc, 11, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
39, Self-emp-inc, 51089, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 30, United-States, <=50K.
46, Private, 37353, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 45, United-States, <=50K.
36, Local-gov, 379672, Assoc-voc, 11, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 60, United-States, <=50K.
64, Private, 130727, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 2174, 0, 37, United-States, <=50K.
51, Private, 172046, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K.
57, Private, 228764, Assoc-voc, 11, Divorced, Machine-op-inspct, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K.
21, Private, 376393, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 25, United-States, <=50K.
53, Private, 185283, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K.
61, Self-emp-not-inc, 195789, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 30, United-States, <=50K.
50, Private, 243115, HS-grad, 9, Married-spouse-absent, Adm-clerical, Other-relative, White, Female, 0, 0, 40, United-States, <=50K.
74, Private, 147558, Some-college, 10, Divorced, Sales, Not-in-family, White, Female, 7262, 0, 30, United-States, >50K.
22, State-gov, 62865, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 8, United-States, <=50K.
25, Self-emp-not-inc, 275197, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
63, Self-emp-not-inc, 124015, Masters, 14, Separated, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K.
38, Self-emp-inc, 282951, Some-college, 10, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
46, Private, 105253, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 50, United-States, >50K.
31, Private, 119164, HS-grad, 9, Never-married, Exec-managerial, Other-relative, White, Male, 0, 0, 40, ?, <=50K.
35, Self-emp-not-inc, 263081, Some-college, 10, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 84, United-States, <=50K.
54, Private, 96062, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K.
50, Private, 44942, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 1848, 48, United-States, >50K.
37, Federal-gov, 127879, Some-college, 10, Never-married, Exec-managerial, Own-child, Black, Female, 0, 0, 40, United-States, <=50K.
37, Private, 109633, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
29, Private, 109404, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
56, Private, 126677, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 3103, 0, 40, United-States, >50K.
52, Private, 101113, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 66, United-States, >50K.
40, Private, 117523, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, Columbia, <=50K.
29, Private, 183523, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 40, United-States, >50K.
46, Self-emp-not-inc, 311231, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K.
49, Private, 459556, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 50, United-States, <=50K.
37, Private, 95551, Some-college, 10, Divorced, Sales, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K.
36, Private, 126675, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States, <=50K.
32, Private, 200246, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K.
53, Private, 108435, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, Italy, <=50K.
